Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Length
1,5.1,3.5,1.4,0.2,Iris-setosa,large
2,4.9,3.0,1.4,0.2,Iris-setosa,small
3,4.7,3.2,1.3,0.2,Iris-setosa,small
4,4.6,3.1,1.5,0.2,Iris-setosa,small
5,5.0,3.6,1.4,0.2,Iris-setosa,large
6,5.4,3.9,1.7,0.4,Iris-setosa,large
7,4.6,3.4,1.4,0.3,Iris-setosa,small
8,5.0,3.4,1.5,0.2,Iris-setosa,large
9,4.4,2.9,1.4,0.2,Iris-setosa,small
10,4.9,3.1,1.5,0.1,Iris-setosa,small
11,5.4,3.7,1.5,0.2,Iris-setosa,large
12,4.8,3.4,1.6,0.2,Iris-setosa,small
13,4.8,3.0,1.4,0.1,Iris-setosa,small
14,4.3,3.0,1.1,0.1,Iris-setosa,small
15,5.8,4.0,1.2,0.2,Iris-setosa,large
16,5.7,4.4,1.5,0.4,Iris-setosa,large
17,5.4,3.9,1.3,0.4,Iris-setosa,large
18,5.1,3.5,1.4,0.3,Iris-setosa,large
19,5.7,3.8,1.7,0.3,Iris-setosa,large
20,5.1,3.8,1.5,0.3,Iris-setosa,large
21,5.4,3.4,1.7,0.2,Iris-setosa,large
22,5.1,3.7,1.5,0.4,Iris-setosa,large
23,4.6,3.6,1.0,0.2,Iris-setosa,small
24,5.1,3.3,1.7,0.5,Iris-setosa,large
25,4.8,3.4,1.9,0.2,Iris-setosa,small
26,5.0,3.0,1.6,0.2,Iris-setosa,large
27,5.0,3.4,1.6,0.4,Iris-setosa,large
28,5.2,3.5,1.5,0.2,Iris-setosa,large
29,5.2,3.4,1.4,0.2,Iris-setosa,large
30,4.7,3.2,1.6,0.2,Iris-setosa,small
31,4.8,3.1,1.6,0.2,Iris-setosa,small
32,5.4,3.4,1.5,0.4,Iris-setosa,large
33,5.2,4.1,1.5,0.1,Iris-setosa,large
34,5.5,4.2,1.4,0.2,Iris-setosa,large
35,4.9,3.1,1.5,0.1,Iris-setosa,small
36,5.0,3.2,1.2,0.2,Iris-setosa,large
37,5.5,3.5,1.3,0.2,Iris-setosa,large
38,4.9,3.1,1.5,0.1,Iris-setosa,small
39,4.4,3.0,1.3,0.2,Iris-setosa,small
40,5.1,3.4,1.5,0.2,Iris-setosa,large
41,5.0,3.5,1.3,0.3,Iris-setosa,large
42,4.5,2.3,1.3,0.3,Iris-setosa,small
43,4.4,3.2,1.3,0.2,Iris-setosa,small
44,5.0,3.5,1.6,0.6,Iris-setosa,large
45,5.1,3.8,1.9,0.4,Iris-setosa,large
46,4.8,3.0,1.4,0.3,Iris-setosa,small
47,5.1,3.8,1.6,0.2,Iris-setosa,large
48,4.6,3.2,1.4,0.2,Iris-setosa,small
49,5.3,3.7,1.5,0.2,Iris-setosa,large
50,5.0,3.3,1.4,0.2,Iris-setosa,large
51,7.0,3.2,4.7,1.4,Iris-versicolor,large
52,6.4,3.2,4.5,1.5,Iris-versicolor,large
53,6.9,3.1,4.9,1.5,Iris-versicolor,large
54,5.5,2.3,4.0,1.3,Iris-versicolor,large
55,6.5,2.8,4.6,1.5,Iris-versicolor,large
56,5.7,2.8,4.5,1.3,Iris-versicolor,large
57,6.3,3.3,4.7,1.6,Iris-versicolor,large
58,4.9,2.4,3.3,1.0,Iris-versicolor,small
59,6.6,2.9,4.6,1.3,Iris-versicolor,large
60,5.2,2.7,3.9,1.4,Iris-versicolor,large
61,5.0,2.0,3.5,1.0,Iris-versicolor,large
62,5.9,3.0,4.2,1.5,Iris-versicolor,large
63,6.0,2.2,4.0,1.0,Iris-versicolor,large
64,6.1,2.9,4.7,1.4,Iris-versicolor,large
65,5.6,2.9,3.6,1.3,Iris-versicolor,large
66,6.7,3.1,4.4,1.4,Iris-versicolor,large
67,5.6,3.0,4.5,1.5,Iris-versicolor,large
68,5.8,2.7,4.1,1.0,Iris-versicolor,large
69,6.2,2.2,4.5,1.5,Iris-versicolor,large
70,5.6,2.5,3.9,1.1,Iris-versicolor,large
71,5.9,3.2,4.8,1.8,Iris-versicolor,large
72,6.1,2.8,4.0,1.3,Iris-versicolor,large
73,6.3,2.5,4.9,1.5,Iris-versicolor,large
74,6.1,2.8,4.7,1.2,Iris-versicolor,large
75,6.4,2.9,4.3,1.3,Iris-versicolor,large
76,6.6,3.0,4.4,1.4,Iris-versicolor,large
77,6.8,2.8,4.8,1.4,Iris-versicolor,large
78,6.7,3.0,5.0,1.7,Iris-versicolor,large
79,6.0,2.9,4.5,1.5,Iris-versicolor,large
80,5.7,2.6,3.5,1.0,Iris-versicolor,large
81,5.5,2.4,3.8,1.1,Iris-versicolor,large
82,5.5,2.4,3.7,1.0,Iris-versicolor,large
83,5.8,2.7,3.9,1.2,Iris-versicolor,large
84,6.0,2.7,5.1,1.6,Iris-versicolor,large
85,5.4,3.0,4.5,1.5,Iris-versicolor,large
86,6.0,3.4,4.5,1.6,Iris-versicolor,large
87,6.7,3.1,4.7,1.5,Iris-versicolor,large
88,6.3,2.3,4.4,1.3,Iris-versicolor,large
89,5.6,3.0,4.1,1.3,Iris-versicolor,large
90,5.5,2.5,4.0,1.3,Iris-versicolor,large
91,5.5,2.6,4.4,1.2,Iris-versicolor,large
92,6.1,3.0,4.6,1.4,Iris-versicolor,large
93,5.8,2.6,4.0,1.2,Iris-versicolor,large
94,5.0,2.3,3.3,1.0,Iris-versicolor,large
95,5.6,2.7,4.2,1.3,Iris-versicolor,large
96,5.7,3.0,4.2,1.2,Iris-versicolor,large
97,5.7,2.9,4.2,1.3,Iris-versicolor,large
98,6.2,2.9,4.3,1.3,Iris-versicolor,large
99,5.1,2.5,3.0,1.1,Iris-versicolor,large
100,5.7,2.8,4.1,1.3,Iris-versicolor,large
101,6.3,3.3,6.0,2.5,Iris-virginica,large
102,5.8,2.7,5.1,1.9,Iris-virginica,large
103,7.1,3.0,5.9,2.1,Iris-virginica,large
104,6.3,2.9,5.6,1.8,Iris-virginica,large
105,6.5,3.0,5.8,2.2,Iris-virginica,large
106,7.6,3.0,6.6,2.1,Iris-virginica,large
107,4.9,2.5,4.5,1.7,Iris-virginica,small
108,7.3,2.9,6.3,1.8,Iris-virginica,large
109,6.7,2.5,5.8,1.8,Iris-virginica,large
110,7.2,3.6,6.1,2.5,Iris-virginica,large
111,6.5,3.2,5.1,2.0,Iris-virginica,large
112,6.4,2.7,5.3,1.9,Iris-virginica,large
113,6.8,3.0,5.5,2.1,Iris-virginica,large
114,5.7,2.5,5.0,2.0,Iris-virginica,large
115,5.8,2.8,5.1,2.4,Iris-virginica,large
116,6.4,3.2,5.3,2.3,Iris-virginica,large
117,6.5,3.0,5.5,1.8,Iris-virginica,large
118,7.7,3.8,6.7,2.2,Iris-virginica,large
119,7.7,2.6,6.9,2.3,Iris-virginica,large
120,6.0,2.2,5.0,1.5,Iris-virginica,large
121,6.9,3.2,5.7,2.3,Iris-virginica,large
122,5.6,2.8,4.9,2.0,Iris-virginica,large
123,7.7,2.8,6.7,2.0,Iris-virginica,large
124,6.3,2.7,4.9,1.8,Iris-virginica,large
125,6.7,3.3,5.7,2.1,Iris-virginica,large
126,7.2,3.2,6.0,1.8,Iris-virginica,large
127,6.2,2.8,4.8,1.8,Iris-virginica,large
128,6.1,3.0,4.9,1.8,Iris-virginica,large
129,6.4,2.8,5.6,2.1,Iris-virginica,large
130,7.2,3.0,5.8,1.6,Iris-virginica,large
131,7.4,2.8,6.1,1.9,Iris-virginica,large
132,7.9,3.8,6.4,2.0,Iris-virginica,large
133,6.4,2.8,5.6,2.2,Iris-virginica,large
134,6.3,2.8,5.1,1.5,Iris-virginica,large
135,6.1,2.6,5.6,1.4,Iris-virginica,large
136,7.7,3.0,6.1,2.3,Iris-virginica,large
137,6.3,3.4,5.6,2.4,Iris-virginica,large
138,6.4,3.1,5.5,1.8,Iris-virginica,large
139,6.0,3.0,4.8,1.8,Iris-virginica,large
140,6.9,3.1,5.4,2.1,Iris-virginica,large
141,6.7,3.1,5.6,2.4,Iris-virginica,large
142,6.9,3.1,5.1,2.3,Iris-virginica,large
143,5.8,2.7,5.1,1.9,Iris-virginica,large
144,6.8,3.2,5.9,2.3,Iris-virginica,large
145,6.7,3.3,5.7,2.5,Iris-virginica,large
146,6.7,3.0,5.2,2.3,Iris-virginica,large
147,6.3,2.5,5.0,1.9,Iris-virginica,large
148,6.5,3.0,5.2,2.0,Iris-virginica,large
149,6.2,3.4,5.4,2.3,Iris-virginica,large
150,5.9,3.0,5.1,1.8,Iris-virginica,large
